tv_name,weekday,timeslot,number_of_tickets,Date
StellarWave A9,Saturday,12-16,56,1980-05-31
Luminor Arc 65,Tuesday,8-12,265,1980-05-27
Luminor Arc 65,Thursday,0-8,1,1980-05-22
Luminor Arc 65,Tuesday,0-8,1,1980-05-20
StellarWave A9,Sunday,8-12,208,1980-05-18
Luminor Arc 65,Thursday,8-12,277,1980-05-15
Luminor Arc 65,Thursday,20-24,2,1980-05-08
Luminor Arc 65,Thursday,8-12,278,1980-05-01
Luminor Arc 65,Wednesday,16-20,1,1980-04-30
StellarWave A9,Friday,0-8,1,1980-04-25
StellarWave A9,Friday,12-16,71,1980-04-18
Luminor Arc 65,Saturday,16-20,1,1980-04-12
Luminor Arc 65,Tuesday,16-20,0,1980-04-08
Luminor Arc 65,Saturday,16-20,1,1980-04-05
StellarWave A9,Wednesday,12-16,85,1980-04-02
Luminor Arc 65,Wednesday,8-12,292,1980-03-26
StellarWave A9,Saturday,16-20,0,1980-03-22
Luminor Arc 65,Monday,20-24,0,1980-03-17
StellarWave A9,Tuesday,8-12,2,1980-03-11
StellarWave A9,Friday,20-24,252,1980-03-07
StellarWave A9,Saturday,20-24,1,1980-03-01
Luminor Arc 65,Tuesday,12-16,206,1980-02-26
Luminor Arc 65,Monday,8-12,235,1980-02-25
StellarWave A9,Monday,20-24,233,1980-02-18
StellarWave A9,Thursday,12-16,80,1980-02-14
StellarWave A9,Sunday,8-12,220,1980-02-10
StellarWave A9,Monday,0-8,1,1980-02-04
Luminor Arc 65,Wednesday,0-8,3,1980-01-30
Luminor Arc 65,Wednesday,20-24,1,1980-01-23
Luminor Arc 65,Saturday,20-24,0,1980-01-19
Luminor Arc 65,Saturday,8-12,1,1980-01-12
StellarWave A9,Friday,8-12,10,1980-01-11
StellarWave A9,Tuesday,0-8,3,1980-01-08
StellarWave A9,Thursday,0-8,0,1980-01-03
Luminor Arc 65,Tuesday,20-24,0,1980-01-01
Luminor Arc 65,Saturday,12-16,11,1979-12-29
Luminor Arc 65,Monday,20-24,1,1979-12-24
Luminor Arc 65,Wednesday,16-20,0,1979-12-19
Luminor Arc 65,Friday,12-16,299,1979-12-14
Luminor Arc 65,Tuesday,0-8,1,1979-12-11
StellarWave A9,Saturday,0-8,279,1979-12-08
StellarWave A9,Sunday,12-16,82,1979-12-02
Luminor Arc 65,Friday,8-12,240,1979-11-30
StellarWave A9,Monday,12-16,43,1979-11-26
StellarWave A9,Saturday,20-24,0,1979-11-24
Luminor Arc 65,Thursday,20-24,1,1979-11-22
Luminor Arc 65,Saturday,8-12,0,1979-11-17
StellarWave A9,Thursday,12-16,62,1979-11-15
StellarWave A9,Wednesday,8-12,1,1979-11-14
Luminor Arc 65,Sunday,12-16,0,1979-11-11
StellarWave A9,Monday,12-16,62,1979-11-05
StellarWave A9,Tuesday,0-8,0,1979-10-30
StellarWave A9,Saturday,12-16,63,1979-10-27
Luminor Arc 65,Wednesday,0-8,2,1979-10-24
StellarWave A9,Monday,0-8,0,1979-10-22
StellarWave A9,Sunday,0-8,261,1979-10-21
StellarWave A9,Sunday,8-12,226,1979-10-14
Luminor Arc 65,Saturday,0-8,0,1979-10-13
Luminor Arc 65,Saturday,12-16,2,1979-10-06
StellarWave A9,Sunday,16-20,2,1979-09-30
Luminor Arc 65,Monday,0-8,0,1979-09-24
Luminor Arc 65,Thursday,20-24,1,1979-09-20
Luminor Arc 65,Sunday,8-12,1,1979-09-16
Luminor Arc 65,Saturday,16-20,0,1979-09-15
Luminor Arc 65,Thursday,20-24,0,1979-09-13
Luminor Arc 65,Tuesday,0-8,0,1979-09-11
StellarWave A9,Monday,20-24,220,1979-09-10
Luminor Arc 65,Saturday,8-12,2,1979-09-08
StellarWave A9,Thursday,8-12,0,1979-09-06
StellarWave A9,Sunday,16-20,0,1979-09-02
StellarWave A9,Friday,16-20,215,1979-08-31
Luminor Arc 65,Thursday,12-16,241,1979-08-30
Luminor Arc 65,Tuesday,8-12,237,1979-08-28
StellarWave A9,Monday,16-20,197,1979-08-27
Luminor Arc 65,Thursday,16-20,1,1979-08-23
StellarWave A9,Thursday,20-24,291,1979-08-16
Luminor Arc 65,Wednesday,20-24,2,1979-08-15
Luminor Arc 65,Sunday,16-20,1,1979-08-12
Luminor Arc 65,Monday,20-24,0,1979-08-06
StellarWave A9,Saturday,12-16,84,1979-08-04
StellarWave A9,Monday,12-16,54,1979-07-30
Luminor Arc 65,Tuesday,12-16,219,1979-07-24
StellarWave A9,Saturday,0-8,305,1979-07-21
Luminor Arc 65,Saturday,16-20,4,1979-07-14
StellarWave A9,Thursday,20-24,284,1979-07-12
Luminor Arc 65,Sunday,20-24,1,1979-07-08
StellarWave A9,Monday,8-12,2,1979-07-02
StellarWave A9,Thursday,8-12,1,1979-06-28
Luminor Arc 65,Tuesday,8-12,256,1979-06-26
Luminor Arc 65,Wednesday,0-8,2,1979-06-20
Luminor Arc 65,Friday,20-24,1,1979-06-15
Luminor Arc 65,Friday,12-16,258,1979-06-08
Luminor Arc 65,Tuesday,16-20,2,1979-06-05
Luminor Arc 65,Sunday,20-24,1,1979-06-03
Luminor Arc 65,Sunday,16-20,0,1979-05-27
Luminor Arc 65,Thursday,16-20,0,1979-05-24
Luminor Arc 65,Tuesday,8-12,286,1979-05-22
StellarWave A9,Friday,12-16,96,1979-05-18
StellarWave A9,Sunday,16-20,1,1979-05-13
Luminor Arc 65,Tuesday,12-16,225,1979-05-08
Luminor Arc 65,Monday,16-20,0,1979-05-07
StellarWave A9,Saturday,20-24,3,1979-05-05
Luminor Arc 65,Friday,8-12,277,1979-05-04
StellarWave A9,Sunday,0-8,222,1979-04-29
Luminor Arc 65,Saturday,12-16,1,1979-04-28
Luminor Arc 65,Friday,8-12,239,1979-04-27
StellarWave A9,Monday,12-16,70,1979-04-23
StellarWave A9,Sunday,12-16,49,1979-04-22
StellarWave A9,Friday,0-8,0,1979-04-20
Luminor Arc 65,Friday,16-20,0,1979-04-13
Luminor Arc 65,Friday,12-16,243,1979-04-06
StellarWave A9,Tuesday,16-20,235,1979-04-03
StellarWave A9,Monday,20-24,237,1979-04-02
Luminor Arc 65,Tuesday,8-12,254,1979-03-27
StellarWave A9,Friday,12-16,89,1979-03-23
StellarWave A9,Thursday,20-24,273,1979-03-22
Luminor Arc 65,Wednesday,12-16,261,1979-03-21
Luminor Arc 65,Saturday,12-16,10,1979-03-17
Luminor Arc 65,Thursday,8-12,303,1979-03-15
Luminor Arc 65,Monday,12-16,232,1979-03-12
StellarWave A9,Saturday,12-16,73,1979-03-10
StellarWave A9,Sunday,12-16,78,1979-03-04
Luminor Arc 65,Friday,16-20,1,1979-03-02
Luminor Arc 65,Monday,16-20,1,1979-02-26
StellarWave A9,Wednesday,0-8,1,1979-02-21
Luminor Arc 65,Saturday,20-24,0,1979-02-17
StellarWave A9,Sunday,8-12,221,1979-02-11
Luminor Arc 65,Sunday,20-24,0,1979-02-04
StellarWave A9,Monday,0-8,0,1979-01-29
Luminor Arc 65,Wednesday,0-8,2,1979-01-24
Luminor Arc 65,Saturday,16-20,0,1979-01-20
StellarWave A9,Friday,16-20,250,1979-01-19
Luminor Arc 65,Friday,0-8,2,1979-01-12
Luminor Arc 65,Wednesday,8-12,242,1979-01-10
StellarWave A9,Wednesday,16-20,213,1979-01-03
Luminor Arc 65,Tuesday,8-12,253,1979-01-02
Luminor Arc 65,Wednesday,12-16,254,1978-12-27
StellarWave A9,Thursday,16-20,217,1978-12-21
StellarWave A9,Sunday,12-16,70,1978-12-17
Luminor Arc 65,Saturday,12-16,0,1978-12-16
StellarWave A9,Tuesday,16-20,194,1978-12-12
StellarWave A9,Friday,0-8,1,1978-12-08
Luminor Arc 65,Wednesday,20-24,0,1978-12-06
StellarWave A9,Thursday,16-20,216,1978-11-30
StellarWave A9,Tuesday,16-20,207,1978-11-28
Luminor Arc 65,Sunday,8-12,2,1978-11-26
StellarWave A9,Monday,20-24,235,1978-11-20
StellarWave A9,Friday,20-24,315,1978-11-17
StellarWave A9,Wednesday,0-8,1,1978-11-15
StellarWave A9,Saturday,12-16,72,1978-11-11
StellarWave A9,Friday,0-8,1,1978-11-10
Luminor Arc 65,Thursday,12-16,241,1978-11-09
Luminor Arc 65,Saturday,16-20,3,1978-11-04
StellarWave A9,Thursday,8-12,0,1978-11-02
StellarWave A9,Friday,16-20,242,1978-10-27
StellarWave A9,Saturday,12-16,81,1978-10-21
Luminor Arc 65,Tuesday,12-16,236,1978-10-17
StellarWave A9,Sunday,8-12,241,1978-10-15
StellarWave A9,Sunday,20-24,1,1978-10-08
Luminor Arc 65,Tuesday,16-20,0,1978-10-03
StellarWave A9,Monday,8-12,1,1978-10-02
Luminor Arc 65,Saturday,8-12,1,1978-09-30
Luminor Arc 65,Sunday,20-24,2,1978-09-24
Luminor Arc 65,Tuesday,8-12,269,1978-09-19
Luminor Arc 65,Friday,8-12,260,1978-09-15
Luminor Arc 65,Thursday,0-8,3,1978-09-14
StellarWave A9,Tuesday,8-12,0,1978-09-12
Luminor Arc 65,Sunday,8-12,1,1978-09-10
StellarWave A9,Friday,20-24,267,1978-09-08
StellarWave A9,Saturday,8-12,233,1978-09-02
StellarWave A9,Wednesday,8-12,0,1978-08-30
Luminor Arc 65,Tuesday,20-24,1,1978-08-29
StellarWave A9,Wednesday,20-24,245,1978-08-23
Luminor Arc 65,Tuesday,16-20,2,1978-08-22
Luminor Arc 65,Thursday,0-8,2,1978-08-17
StellarWave A9,Friday,16-20,210,1978-08-11
Luminor Arc 65,Saturday,8-12,2,1978-08-05
StellarWave A9,Monday,8-12,0,1978-07-31
StellarWave A9,Monday,20-24,256,1978-07-24
StellarWave A9,Thursday,20-24,263,1978-07-20
Luminor Arc 65,Sunday,16-20,0,1978-07-16
StellarWave A9,Friday,8-12,1,1978-07-14
Luminor Arc 65,Sunday,12-16,0,1978-07-09
Luminor Arc 65,Wednesday,20-24,1,1978-07-05
StellarWave A9,Thursday,0-8,1,1978-06-29
StellarWave A9,Wednesday,16-20,209,1978-06-28
Luminor Arc 65,Saturday,16-20,1,1978-06-24
StellarWave A9,Monday,8-12,1,1978-06-19
StellarWave A9,Wednesday,20-24,245,1978-06-14
StellarWave A9,Sunday,16-20,2,1978-06-11
Luminor Arc 65,Saturday,12-16,0,1978-06-10
StellarWave A9,Wednesday,8-12,2,1978-06-07
Luminor Arc 65,Saturday,0-8,10,1978-06-03
Luminor Arc 65,Monday,16-20,0,1978-05-29
StellarWave A9,Wednesday,8-12,0,1978-05-24
StellarWave A9,Saturday,20-24,1,1978-05-20
StellarWave A9,Thursday,20-24,260,1978-05-18
StellarWave A9,Sunday,16-20,0,1978-05-14
StellarWave A9,Thursday,20-24,267,1978-05-11
StellarWave A9,Wednesday,0-8,2,1978-05-10
Luminor Arc 65,Tuesday,8-12,294,1978-05-09
Luminor Arc 65,Thursday,8-12,283,1978-05-04
StellarWave A9,Monday,8-12,1,1978-05-01
Luminor Arc 65,Monday,12-16,200,1978-04-24
Luminor Arc 65,Thursday,12-16,265,1978-04-20
Luminor Arc 65,Sunday,16-20,0,1978-04-16
Luminor Arc 65,Sunday,20-24,2,1978-04-09
StellarWave A9,Tuesday,12-16,62,1978-04-04
Luminor Arc 65,Friday,8-12,268,1978-03-31
StellarWave A9,Tuesday,12-16,71,1978-03-28
StellarWave A9,Saturday,20-24,1,1978-03-25
StellarWave A9,Friday,20-24,290,1978-03-24
Luminor Arc 65,Monday,16-20,1,1978-03-20
StellarWave A9,Wednesday,8-12,1,1978-03-15
Luminor Arc 65,Friday,12-16,251,1978-03-10
Luminor Arc 65,Thursday,12-16,261,1978-03-09
StellarWave A9,Thursday,12-16,99,1978-03-02
StellarWave A9,Friday,16-20,235,1978-02-24
StellarWave A9,Friday,20-24,302,1978-02-17
Luminor Arc 65,Saturday,20-24,1,1978-02-11
Luminor Arc 65,Friday,20-24,3,1978-02-10
Luminor Arc 65,Saturday,20-24,1,1978-02-04
Luminor Arc 65,Thursday,12-16,281,1978-02-02
StellarWave A9,Wednesday,12-16,94,1978-02-01
StellarWave A9,Monday,8-12,0,1978-01-30
StellarWave A9,Tuesday,16-20,207,1978-01-24
Luminor Arc 65,Thursday,0-8,3,1978-01-19
Luminor Arc 65,Friday,12-16,290,1978-01-13
Luminor Arc 65,Tuesday,12-16,253,1978-01-10
Luminor Arc 65,Tuesday,12-16,243,1978-01-03
StellarWave A9,Sunday,20-24,1,1978-01-01
StellarWave A9,Friday,8-12,8,1977-12-30
StellarWave A9,Thursday,0-8,1,1977-12-29
StellarWave A9,Tuesday,8-12,0,1977-12-27
StellarWave A9,Thursday,20-24,270,1977-12-22
StellarWave A9,Tuesday,20-24,227,1977-12-20
Luminor Arc 65,Thursday,12-16,243,1977-12-15
Luminor Arc 65,Thursday,20-24,4,1977-12-08
Luminor Arc 65,Wednesday,0-8,1,1977-12-07
Luminor Arc 65,Thursday,8-12,227,1977-12-01
StellarWave A9,Sunday,12-16,96,1977-11-27
Luminor Arc 65,Thursday,16-20,1,1977-11-24
Luminor Arc 65,Tuesday,16-20,1,1977-11-22
Luminor Arc 65,Sunday,0-8,2,1977-11-20
Luminor Arc 65,Saturday,0-8,2,1977-11-19
Luminor Arc 65,Thursday,8-12,294,1977-11-17
StellarWave A9,Sunday,12-16,81,1977-11-13
StellarWave A9,Wednesday,16-20,191,1977-11-09
StellarWave A9,Monday,20-24,239,1977-11-07
Luminor Arc 65,Friday,12-16,271,1977-11-04
StellarWave A9,Wednesday,8-12,1,1977-11-02
Luminor Arc 65,Monday,16-20,0,1977-10-31
Luminor Arc 65,Sunday,8-12,2,1977-10-30
StellarWave A9,Thursday,12-16,70,1977-10-27
Luminor Arc 65,Thursday,0-8,0,1977-10-20
StellarWave A9,Saturday,0-8,292,1977-10-15
StellarWave A9,Monday,16-20,203,1977-10-10
Luminor Arc 65,Thursday,16-20,1,1977-10-06
Luminor Arc 65,Monday,12-16,222,1977-10-03
StellarWave A9,Saturday,0-8,259,1977-10-01
StellarWave A9,Tuesday,0-8,0,1977-09-27
StellarWave A9,Friday,0-8,0,1977-09-23
Luminor Arc 65,Friday,0-8,0,1977-09-16
Luminor Arc 65,Tuesday,16-20,1,1977-09-13
Luminor Arc 65,Friday,20-24,1,1977-09-09
Luminor Arc 65,Thursday,0-8,0,1977-09-08
StellarWave A9,Saturday,16-20,0,1977-09-03
StellarWave A9,Friday,20-24,268,1977-09-02
Luminor Arc 65,Tuesday,12-16,226,1977-08-30
Luminor Arc 65,Wednesday,0-8,2,1977-08-24
Luminor Arc 65,Monday,16-20,2,1977-08-22
StellarWave A9,Friday,0-8,0,1977-08-19
Luminor Arc 65,Thursday,12-16,259,1977-08-18
Luminor Arc 65,Monday,16-20,2,1977-08-15
StellarWave A9,Tuesday,0-8,1,1977-08-09
StellarWave A9,Thursday,16-20,225,1977-08-04
StellarWave A9,Wednesday,8-12,2,1977-08-03
StellarWave A9,Wednesday,8-12,0,1977-07-27
StellarWave A9,Thursday,16-20,233,1977-07-21
StellarWave A9,Sunday,20-24,1,1977-07-17
StellarWave A9,Tuesday,12-16,61,1977-07-12
StellarWave A9,Thursday,0-8,1,1977-07-07
Luminor Arc 65,Sunday,12-16,2,1977-07-03
StellarWave A9,Wednesday,12-16,71,1977-06-29
Luminor Arc 65,Monday,12-16,203,1977-06-27
StellarWave A9,Thursday,0-8,0,1977-06-23
StellarWave A9,Friday,20-24,266,1977-06-17
Luminor Arc 65,Thursday,12-16,276,1977-06-16
Luminor Arc 65,Friday,16-20,0,1977-06-10
Luminor Arc 65,Sunday,12-16,0,1977-06-05
Luminor Arc 65,Tuesday,0-8,0,1977-05-31
StellarWave A9,Monday,20-24,244,1977-05-30
Luminor Arc 65,Thursday,20-24,1,1977-05-26
StellarWave A9,Wednesday,16-20,208,1977-05-25
Luminor Arc 65,Saturday,8-12,2,1977-05-21
StellarWave A9,Tuesday,20-24,257,1977-05-17
Luminor Arc 65,Monday,0-8,1,1977-05-16
StellarWave A9,Thursday,12-16,80,1977-05-12
Luminor Arc 65,Monday,16-20,0,1977-05-09
Luminor Arc 65,Thursday,0-8,0,1977-05-05
Luminor Arc 65,Thursday,8-12,279,1977-04-28
StellarWave A9,Tuesday,12-16,53,1977-04-26
Luminor Arc 65,Saturday,16-20,3,1977-04-23
StellarWave A9,Thursday,0-8,1,1977-04-21
StellarWave A9,Wednesday,8-12,0,1977-04-20
StellarWave A9,Wednesday,20-24,199,1977-04-13
StellarWave A9,Saturday,20-24,1,1977-04-09
StellarWave A9,Sunday,20-24,0,1977-04-03
Luminor Arc 65,Tuesday,20-24,2,1977-03-29
Luminor Arc 65,Saturday,16-20,1,1977-03-26
StellarWave A9,Thursday,8-12,1,1977-03-24
StellarWave A9,Sunday,16-20,3,1977-03-20
StellarWave A9,Thursday,20-24,282,1977-03-17
StellarWave A9,Wednesday,20-24,213,1977-03-16
StellarWave A9,Tuesday,20-24,251,1977-03-15
StellarWave A9,Thursday,0-8,4,1977-03-10
StellarWave A9,Thursday,0-8,1,1977-03-03
StellarWave A9,Monday,16-20,201,1977-02-28
Luminor Arc 65,Tuesday,8-12,282,1977-02-22
Luminor Arc 65,Monday,8-12,247,1977-02-21
Luminor Arc 65,Wednesday,8-12,241,1977-02-16
Luminor Arc 65,Monday,8-12,263,1977-02-14
Luminor Arc 65,Monday,0-8,0,1977-02-07
StellarWave A9,Sunday,20-24,0,1977-02-06
Luminor Arc 65,Monday,12-16,241,1977-01-31
Luminor Arc 65,Thursday,12-16,275,1977-01-27
Luminor Arc 65,Sunday,20-24,0,1977-01-23
StellarWave A9,Friday,20-24,260,1977-01-21
StellarWave A9,Monday,8-12,2,1977-01-17
Luminor Arc 65,Tuesday,12-16,218,1977-01-11
StellarWave A9,Friday,20-24,268,1977-01-07
StellarWave A9,Wednesday,8-12,0,1977-01-05
Luminor Arc 65,Thursday,16-20,1,1976-12-30
StellarWave A9,Friday,8-12,12,1976-12-24
Luminor Arc 65,Friday,8-12,301,1976-12-17
StellarWave A9,Tuesday,16-20,207,1976-12-14
Luminor Arc 65,Saturday,16-20,1,1976-12-11
Luminor Arc 65,Thursday,16-20,0,1976-12-09
StellarWave A9,Sunday,0-8,286,1976-12-05
StellarWave A9,Monday,12-16,57,1976-11-29
StellarWave A9,Saturday,12-16,78,1976-11-27
StellarWave A9,Saturday,16-20,0,1976-11-20
StellarWave A9,Thursday,0-8,0,1976-11-18
Luminor Arc 65,Monday,0-8,0,1976-11-15
StellarWave A9,Thursday,16-20,215,1976-11-11
Luminor Arc 65,Thursday,12-16,270,1976-11-04
Luminor Arc 65,Sunday,12-16,1,1976-10-31
StellarWave A9,Sunday,16-20,2,1976-10-24
StellarWave A9,Thursday,12-16,89,1976-10-21
Luminor Arc 65,Thursday,0-8,1,1976-10-14
Luminor Arc 65,Saturday,12-16,8,1976-10-09
Luminor Arc 65,Saturday,16-20,0,1976-10-02
Luminor Arc 65,Friday,20-24,0,1976-10-01
StellarWave A9,Sunday,8-12,210,1976-09-26
StellarWave A9,Monday,20-24,228,1976-09-20
StellarWave A9,Friday,16-20,249,1976-09-17
StellarWave A9,Wednesday,12-16,89,1976-09-15
Luminor Arc 65,Wednesday,16-20,0,1976-09-08
StellarWave A9,Friday,20-24,273,1976-09-03
Luminor Arc 65,Tuesday,0-8,0,1976-08-31
Luminor Arc 65,Wednesday,8-12,280,1976-08-25
StellarWave A9,Tuesday,8-12,1,1976-08-24
StellarWave A9,Tuesday,16-20,196,1976-08-17
Luminor Arc 65,Monday,20-24,0,1976-08-16
StellarWave A9,Thursday,16-20,219,1976-08-12
StellarWave A9,Monday,12-16,47,1976-08-09
Luminor Arc 65,Tuesday,20-24,0,1976-08-03
Luminor Arc 65,Monday,20-24,0,1976-08-02
Luminor Arc 65,Tuesday,12-16,233,1976-07-27
StellarWave A9,Thursday,12-16,88,1976-07-22
Luminor Arc 65,Thursday,20-24,0,1976-07-15
StellarWave A9,Sunday,20-24,0,1976-07-11
StellarWave A9,Friday,12-16,103,1976-07-09
Luminor Arc 65,Monday,16-20,1,1976-07-05
Luminor Arc 65,Saturday,8-12,1,1976-07-03
StellarWave A9,Sunday,16-20,3,1976-06-27
StellarWave A9,Friday,20-24,298,1976-06-25
Luminor Arc 65,Tuesday,12-16,226,1976-06-22
StellarWave A9,Tuesday,0-8,0,1976-06-15
StellarWave A9,Tuesday,0-8,0,1976-06-08
Luminor Arc 65,Sunday,8-12,1,1976-06-06
Luminor Arc 65,Monday,12-16,228,1976-05-31
Luminor Arc 65,Wednesday,16-20,1,1976-05-26
Luminor Arc 65,Friday,8-12,286,1976-05-21
Luminor Arc 65,Sunday,16-20,0,1976-05-16
StellarWave A9,Saturday,8-12,233,1976-05-15
Luminor Arc 65,Sunday,8-12,1,1976-05-09
StellarWave A9,Wednesday,0-8,1,1976-05-05
StellarWave A9,Monday,8-12,1,1976-05-03
Luminor Arc 65,Tuesday,0-8,0,1976-04-27
Luminor Arc 65,Saturday,16-20,2,1976-04-24
Luminor Arc 65,Wednesday,0-8,2,1976-04-21
Luminor Arc 65,Thursday,0-8,2,1976-04-15
StellarWave A9,Tuesday,16-20,231,1976-04-13
StellarWave A9,Thursday,16-20,210,1976-04-08
Luminor Arc 65,Thursday,20-24,0,1976-04-01
StellarWave A9,Monday,12-16,75,1976-03-29
Luminor Arc 65,Sunday,20-24,4,1976-03-28
StellarWave A9,Thursday,8-12,1,1976-03-25
StellarWave A9,Tuesday,12-16,69,1976-03-23
Luminor Arc 65,Thursday,0-8,1,1976-03-18
StellarWave A9,Friday,12-16,105,1976-03-12
StellarWave A9,Thursday,20-24,264,1976-03-11
Luminor Arc 65,Monday,20-24,0,1976-03-08
Luminor Arc 65,Thursday,16-20,1,1976-03-04
StellarWave A9,Friday,8-12,0,1976-02-27
Luminor Arc 65,Wednesday,8-12,283,1976-02-25
StellarWave A9,Thursday,0-8,2,1976-02-19
StellarWave A9,Thursday,0-8,1,1976-02-12
Luminor Arc 65,Monday,16-20,0,1976-02-09
Luminor Arc 65,Friday,12-16,272,1976-02-06
StellarWave A9,Sunday,20-24,1,1976-02-01
StellarWave A9,Saturday,0-8,266,1976-01-31
Luminor Arc 65,Saturday,8-12,1,1976-01-24
Luminor Arc 65,Sunday,16-20,0,1976-01-18
StellarWave A9,Wednesday,20-24,251,1976-01-14
Luminor Arc 65,Friday,0-8,0,1976-01-09
Luminor Arc 65,Tuesday,8-12,257,1976-01-06
Luminor Arc 65,Saturday,0-8,28,1976-01-03
Luminor Arc 65,Friday,20-24,1,1976-01-02
StellarWave A9,Tuesday,20-24,232,1975-12-30
StellarWave A9,Wednesday,12-16,77,1975-12-24
Luminor Arc 65,Tuesday,12-16,232,1975-12-23
StellarWave A9,Monday,20-24,248,1975-12-22
StellarWave A9,Monday,12-16,56,1975-12-15
StellarWave A9,Saturday,12-16,60,1975-12-13
StellarWave A9,Sunday,20-24,3,1975-12-07
StellarWave A9,Wednesday,8-12,1,1975-12-03
Luminor Arc 65,Thursday,20-24,0,1975-11-27
StellarWave A9,Sunday,12-16,63,1975-11-23
StellarWave A9,Friday,16-20,246,1975-11-21
StellarWave A9,Thursday,0-8,0,1975-11-20
Luminor Arc 65,Thursday,12-16,279,1975-11-13
StellarWave A9,Friday,12-16,68,1975-11-07
Luminor Arc 65,Wednesday,16-20,1,1975-11-05
StellarWave A9,Tuesday,0-8,2,1975-11-04
StellarWave A9,Thursday,8-12,1,1975-10-30
Luminor Arc 65,Monday,0-8,1,1975-10-27
Luminor Arc 65,Friday,8-12,285,1975-10-24
Luminor Arc 65,Wednesday,16-20,0,1975-10-22
Luminor Arc 65,Thursday,12-16,253,1975-10-16
Luminor Arc 65,Thursday,12-16,279,1975-10-09
Luminor Arc 65,Tuesday,20-24,1,1975-10-07
StellarWave A9,Saturday,16-20,3,1975-10-04
StellarWave A9,Saturday,8-12,218,1975-09-27
Luminor Arc 65,Friday,16-20,0,1975-09-26
Luminor Arc 65,Saturday,20-24,1,1975-09-20
StellarWave A9,Monday,12-16,34,1975-09-15
StellarWave A9,Sunday,16-20,1,1975-09-14
StellarWave A9,Friday,12-16,109,1975-09-12
Luminor Arc 65,Wednesday,16-20,1,1975-09-10
Luminor Arc 65,Saturday,12-16,2,1975-09-06
Luminor Arc 65,Sunday,12-16,1,1975-08-31
Luminor Arc 65,Tuesday,20-24,1,1975-08-26
StellarWave A9,Thursday,12-16,118,1975-08-21
Luminor Arc 65,Sunday,16-20,0,1975-08-17
StellarWave A9,Sunday,12-16,83,1975-08-10
StellarWave A9,Friday,0-8,1,1975-08-08
Luminor Arc 65,Friday,16-20,0,1975-08-01
StellarWave A9,Tuesday,8-12,1,1975-07-29
Luminor Arc 65,Saturday,20-24,1,1975-07-26
StellarWave A9,Thursday,12-16,81,1975-07-24
Luminor Arc 65,Wednesday,20-24,0,1975-07-23
StellarWave A9,Saturday,8-12,200,1975-07-19
Luminor Arc 65,Friday,0-8,4,1975-07-18
StellarWave A9,Sunday,0-8,249,1975-07-13
Luminor Arc 65,Friday,12-16,284,1975-07-11
Luminor Arc 65,Tuesday,16-20,2,1975-07-08
StellarWave A9,Sunday,16-20,1,1975-07-06
StellarWave A9,Tuesday,20-24,260,1975-07-01
Luminor Arc 65,Thursday,8-12,298,1975-06-26
StellarWave A9,Tuesday,20-24,233,1975-06-24
Luminor Arc 65,Tuesday,20-24,0,1975-06-17
StellarWave A9,Friday,0-8,0,1975-06-13
StellarWave A9,Thursday,8-12,1,1975-06-12
Luminor Arc 65,Friday,12-16,270,1975-06-06
StellarWave A9,Tuesday,20-24,238,1975-06-03
Luminor Arc 65,Saturday,12-16,6,1975-05-31
StellarWave A9,Tuesday,8-12,0,1975-05-27
StellarWave A9,Saturday,0-8,254,1975-05-24
Luminor Arc 65,Friday,8-12,297,1975-05-23
Luminor Arc 65,Wednesday,8-12,281,1975-05-21
Luminor Arc 65,Thursday,16-20,0,1975-05-15
StellarWave A9,Sunday,20-24,3,1975-05-11
Luminor Arc 65,Thursday,12-16,262,1975-05-08
Luminor Arc 65,Thursday,8-12,241,1975-05-01
Luminor Arc 65,Tuesday,20-24,1,1975-04-29
Luminor Arc 65,Thursday,16-20,1,1975-04-24
StellarWave A9,Wednesday,20-24,241,1975-04-23
Luminor Arc 65,Monday,16-20,2,1975-04-21
Luminor Arc 65,Saturday,16-20,1,1975-04-19
Luminor Arc 65,Wednesday,12-16,241,1975-04-16
StellarWave A9,Monday,16-20,192,1975-04-14
StellarWave A9,Monday,20-24,238,1975-04-07
StellarWave A9,Tuesday,8-12,1,1975-04-01
StellarWave A9,Monday,0-8,0,1975-03-31
StellarWave A9,Friday,8-12,12,1975-03-28
StellarWave A9,Sunday,8-12,203,1975-03-23
StellarWave A9,Sunday,0-8,271,1975-03-16
Luminor Arc 65,Thursday,8-12,282,1975-03-13
StellarWave A9,Thursday,20-24,273,1975-03-06
Luminor Arc 65,Friday,20-24,0,1975-02-28
StellarWave A9,Sunday,0-8,236,1975-02-23
StellarWave A9,Thursday,0-8,1,1975-02-20
Luminor Arc 65,Sunday,20-24,2,1975-02-16
Luminor Arc 65,Tuesday,12-16,225,1975-02-11
StellarWave A9,Thursday,12-16,95,1975-02-06
StellarWave A9,Sunday,8-12,233,1975-02-02
Luminor Arc 65,Saturday,16-20,0,1975-02-01
StellarWave A9,Monday,8-12,0,1975-01-27
StellarWave A9,Wednesday,8-12,0,1975-01-22
Luminor Arc 65,Sunday,20-24,0,1975-01-19
StellarWave A9,Wednesday,16-20,210,1975-01-15
Luminor Arc 65,Wednesday,8-12,304,1975-01-08
StellarWave A9,Tuesday,8-12,0,1975-01-07
Luminor Arc 65,Tuesday,8-12,229,1974-12-31
Luminor Arc 65,Sunday,12-16,1,1974-12-29
